date,steps,distance,runDistance,calories
2020-06-16,2070,1515,141,62
2020-06-17,2802,2025,209,89
2020-06-18,3506,2513,156,100
2020-06-19,2691,1919,188,74
2020-06-20,3064,2162,287,87
2020-06-21,179,119,6,4
2020-06-22,1656,1102,193,45
2020-06-23,3485,2395,268,90
2020-06-24,2636,1791,252,68
2020-06-25,1240,829,225,37
2020-06-26,2336,1631,132,66
2020-06-27,7332,5026,430,182
2020-06-28,2987,2109,256,84
2020-06-29,2851,2038,295,81
2020-06-30,1458,976,225,46
2020-07-01,2652,1876,226,77
2020-07-02,3572,2501,365,101
2020-07-03,3335,2345,242,92
2020-07-04,2235,1619,135,63
2020-07-05,2082,1434,149,58
2020-07-06,2981,2015,178,79
2020-07-07,2584,1758,157,66
2020-07-08,5214,3663,277,137
2020-07-09,7561,5401,384,198
2020-07-10,6585,4720,241,173
2020-07-11,3648,2537,221,95
2020-07-12,11994,8402,740,310
2020-07-13,0,0,0,0
2020-07-14,112,75,14,4
2020-07-15,6813,4982,202,186
2020-07-16,6858,4855,194,171
2020-07-17,5612,4103,292,154
2020-07-18,7882,5603,242,200
2020-07-19,5647,4018,245,146
2020-07-20,3480,2374,272,88
2020-07-21,7445,5327,362,195
2020-07-22,8589,6228,381,227
2020-07-23,3495,2484,176,98
2020-07-24,6699,4771,234,172
2020-07-25,3238,2235,225,92
2020-07-26,3495,2449,319,104
2020-07-27,7064,5114,321,190
2020-07-28,10522,7573,295,276
2020-07-29,3357,2311,155,83
2020-07-30,3756,2653,262,106
2020-07-31,1997,1502,178,67
2020-08-01,2853,1948,211,81
2020-08-02,2305,1595,193,62
2020-08-03,6162,4283,235,151
2020-08-04,8959,6398,260,230
2020-08-05,3590,2617,156,109
2020-08-06,10281,7263,365,261
2020-08-07,3213,2218,219,88
2020-08-08,3427,2443,180,95
2020-08-09,6816,4777,465,182
2020-08-10,1505,1002,149,39
2020-08-11,845,562,124,29
2020-08-12,5521,3992,322,154
2020-08-13,5374,3809,227,140
2020-08-29,890,592,98,19
2020-08-30,7169,5262,246,198
2020-08-31,7824,5980,293,230
2020-09-01,3715,2741,290,108
2020-09-02,5553,4176,251,163
2020-09-03,5313,4081,641,171
2020-09-04,7098,5316,217,197
2020-09-05,5607,4164,391,157
2020-09-06,3381,2570,198,105
2020-09-07,6484,4849,312,180
2020-09-08,7543,5739,372,219
2020-09-09,9698,7298,1748,313
2020-09-10,5296,4001,296,151
2020-09-11,6080,4612,258,176
2020-09-12,2287,1674,112,67
2020-09-13,4809,3616,250,138
2020-09-14,6170,4630,259,174
2020-09-15,4958,3783,142,148
2020-09-16,6706,5229,302,208
2020-09-17,4692,3590,198,143
2020-09-18,6254,4593,179,167
2020-09-19,4572,3325,275,120
2020-09-20,2653,2058,49,81
2020-09-21,5285,4040,136,158
2020-09-22,3832,2788,252,105
2020-09-23,6823,5088,608,190
2020-09-24,3825,2814,225,108
2020-09-25,5103,3918,171,156
2020-09-26,5462,4198,229,168
2020-09-27,3969,2994,97,118
2020-09-28,5146,3917,108,146
2020-09-29,3985,2961,223,113
2020-09-30,9328,6976,744,274
2020-10-01,4688,3283,360,125
2020-10-02,2593,1787,211,70
2020-10-03,4723,3173,363,116
2020-10-04,6243,4222,488,163
2020-10-05,5462,3725,277,136
2020-10-06,6487,4509,481,165
2020-10-07,2235,1487,162,59
2020-10-08,3431,2501,310,97
2020-10-09,0,0,0,0
2020-10-10,6277,4737,118,171
2020-10-11,4973,3782,31,141
2020-10-12,5813,4392,166,171
2020-10-13,3314,2554,174,101
2020-10-14,5788,4439,228,175
2020-10-15,4536,3451,326,136
2020-10-16,6800,5037,203,184
2020-10-17,5832,4549,306,174
2020-10-18,8406,6697,326,253
2020-10-19,5773,4279,215,157
2020-10-20,4088,3073,257,115
2020-10-21,7033,5339,206,199
2020-10-22,5080,3923,253,149
2020-10-23,6176,4623,267,177
2020-10-24,10618,7880,735,293
2020-10-25,4392,3383,432,126
2020-10-26,6782,5176,289,194
2020-10-27,4611,3573,281,133
2020-10-28,7626,5760,979,208
2020-10-29,0,0,0,0
2020-10-30,3647,2718,255,101
2020-10-31,2681,2099,256,83
2020-11-01,8759,6760,359,249
2020-11-02,7350,5646,289,207
2020-11-03,6976,5332,236,200
2020-11-04,11810,9186,585,338
2020-11-05,8012,6322,201,235
2020-11-06,7036,5157,671,191
2020-11-07,3533,2472,339,94
2020-11-08,7074,5006,297,181
2020-11-09,6856,5300,209,194
2020-11-10,6348,4819,493,184
2020-11-11,8328,6530,364,247
2020-11-12,5846,4618,388,173
2020-11-13,5507,4247,302,162
2020-11-14,6426,4807,285,176
2020-11-15,8525,6470,162,237
2020-11-16,3611,2830,65,106
2020-11-17,0,0,0,0
2020-11-18,0,0,0,0
2020-11-19,0,0,0,0
2020-11-20,0,0,0,0
2020-11-21,0,0,0,0
2020-11-22,3593,2681,328,98
2020-11-23,7527,5746,332,212
2020-11-24,7257,5566,375,207
2020-11-25,11201,8567,493,316
2020-11-26,6690,5240,438,195
2020-11-27,6976,5377,261,202
2020-11-28,5783,4437,176,168
2020-11-29,4266,3207,208,119
2020-11-30,7487,5729,444,216
2020-12-01,7868,6104,507,232
2020-12-02,8515,6649,283,249
2020-12-03,8419,6539,557,246
2020-12-04,8223,6494,521,244
2020-12-05,3164,2414,220,89
2020-12-06,6677,5197,419,199
2020-12-07,7570,5762,364,215
2020-12-08,6739,5239,313,196
2020-12-09,11169,8520,630,313
2020-12-10,8729,6872,299,252
2020-12-11,8927,6834,469,250
2020-12-12,1912,1453,204,55
2020-12-13,4046,3070,377,117
2020-12-14,9190,7084,566,262
2020-12-15,8564,6565,366,245
2020-12-16,8702,6717,522,254
2020-12-17,8372,6461,500,240
2020-12-18,8148,6181,617,227
2020-12-19,3261,2476,176,95
2020-12-20,0,0,0,0
2020-12-21,3606,2632,224,98
2020-12-22,5080,3856,407,146
2020-12-23,11545,8775,749,333
2020-12-24,7095,5390,606,200
2020-12-25,9403,7287,557,277
2020-12-26,3649,2678,341,99
2020-12-27,4741,3636,366,137
2020-12-28,7876,6067,506,226
2020-12-29,7045,5431,371,204
2020-12-30,9786,7556,581,283
2020-12-31,9955,7807,456,296
2021-01-01,2102,1579,325,67
2021-01-02,2804,2069,205,79
2021-01-03,341,227,31,11
2021-01-04,4904,3795,408,144
2021-01-05,8983,7009,245,262
2021-01-06,6463,4912,294,185
2021-01-07,6183,4559,447,173
2021-01-08,5342,3756,281,135
2021-01-09,4958,3580,396,133
2021-01-10,4361,3166,256,119
2021-01-11,2957,2139,159,81
2021-01-12,2805,2108,76,79
2021-01-13,4108,3011,231,108
2021-01-14,1322,884,115,34
2021-01-15,4203,3144,236,115
2021-01-16,6179,4693,363,173
2021-01-17,4604,3331,223,127
2021-01-18,3773,2603,230,93
2021-01-19,2709,1902,127,74
